sigle;credits;presentiel;libre
BIO109;1;1;1
MCB101;1;1;1
BCM113;1;1;1
ZOO306;1;1;1
ZOO307;1;1;1
ECL516;3;1;1
ECL527;2;1;1
PSL105;3;0;1
ECL522;3;0;1
ECL515;2;0;1
BOT512;3;0;1
BIO500;2;1;1
BOT400;1;0;1
ZOO105;1;1;1
ZOO307;1;1;1
MCB101;1;1;1
BIO109;1;1;1
BCM113;1;1;1
BCM104;1;1;1
ECL307;1;1;1
ECL510;3;1;1
PSL105;3;0;1
ECL522;3;0;1
BIO500;2;1;1
BOT400;1;0;1
ECL603;1;0;1
ZOO302;2;0;1
BIO109;1;1;1
MCB101;1;1;1
BCM113;1;1;1
ZOO306;1;1;1
ZOO307;1;1;1
ECL516;3;1;1
ECL527;2;1;1
PSL105;3;0;1
ECL515;2;0;1
BOT512;3;0;1
BIO500;2;1;1
BOT400;1;0;1
ECL603;1;1;1
