"cours" "credits" "presentiel" "libre"
"1" "ZOO306" 1 1 1
"2" "BCM113" 1 1 1
"3" "BCM111" 2 1 1
"4" "BIO109" 1 1 1
"5" "TSB303" 2 1 1
"6" "ZOO105" 1 1 1
"7" "ZOO307" 1 1 1
"8" "ECL516" 3 1 1
"9" "ECL510" 3 1 1
"10" "ECL527" 2 1 1
"11" "PSL105" 3 0 1
"12" "BIO500" 2 1 1
"13" "ZOO302" 2 0 1
"14" "BOT400" 1 0 1
"15" "MCB101" 1 1 1
"16" "ECL603" 1 1 1
"17" "INS154" 3 1 1
"18" "ALM300" 2 1 1
"19" "ECL608" 3 1 1
"20" "BOT512" 3 0 1
"21" "ECL307" 1 1 1
"23" "BIO101" 3 1 1
"31" "ECL522" 3 0 1
"33" "ECL515" 2 0 1
"34" "ECL534" 2 1 1
"35" "ECL611" 1 1 1
"36" "ECL616" 3 1 1
"37" "GMQ106" 3 1 1
"40" "ENT102" 2 0 1
"77" "BCM104" 1 1 1
"108" "GEO457" 3 0 1
"113" "ENV743" 3 0 1
"114" "ENV825" 1 1 0
"115" "ENV804" 4 1 1
"116" "ENV790" 3 1 0
"122" "ENV803" 4 0 0
"144" "ECL544" 3 1 1
